group_id,n,pos,neg,pos_rate,dataset
1,481,11,470,0.02286902286902287,ref
2,463,11,452,0.023758099352051837,ref
3,478,12,466,0.02510460251046025,ref
4,450,10,440,0.022222222222222223,ref
5,562,14,548,0.02491103202846975,ref
6,680,10,670,0.014705882352941176,ref
7,601,10,591,0.016638935108153077,ref
8,600,10,590,0.016666666666666666,ref
9,436,9,427,0.020642201834862386,ref
10,571,16,555,0.028021015761821366,ref
12,361,13,348,0.036011080332409975,ref
13,450,10,440,0.022222222222222223,ref
14,505,14,491,0.027722772277227723,ref
16,450,9,441,0.02,ref
17,471,10,461,0.021231422505307854,ref
18,591,10,581,0.01692047377326565,ref
19,461,11,450,0.02386117136659436,ref
20,498,10,488,0.020080321285140562,ref
21,467,14,453,0.029978586723768737,ref
22,470,10,460,0.02127659574468085,ref
23,480,11,469,0.022916666666666665,ref
24,562,14,548,0.02491103202846975,ref
25,690,18,672,0.02608695652173913,ref
26,609,11,598,0.0180623973727422,ref
27,610,10,600,0.01639344262295082,ref
29,602,17,585,0.02823920265780731,ref
30,353,15,338,0.042492917847025496,ref
31,450,10,440,0.022222222222222223,ref
32,521,12,509,0.023032629558541268,ref
33,441,11,430,0.024943310657596373,ref
34,450,10,440,0.022222222222222223,ref
36,605,14,591,0.023140495867768594,ref
37,600,15,585,0.025,ref
38,460,10,450,0.021739130434782608,ref
39,474,11,463,0.023206751054852322,ref
40,482,21,461,0.043568464730290454,ref
41,471,19,452,0.040339702760084924,ref
42,449,10,439,0.022271714922048998,ref
43,563,17,546,0.03019538188277087,ref
45,607,15,592,0.02471169686985173,ref
46,429,12,417,0.027972027972027972,ref
47,606,13,593,0.02145214521452145,ref
49,600,10,590,0.016666666666666666,ref
50,574,23,551,0.04006968641114982,ref
51,347,12,335,0.0345821325648415,ref
52,443,11,432,0.024830699774266364,ref
53,511,14,497,0.0273972602739726,ref
54,476,19,457,0.03991596638655462,ref
55,445,13,432,0.029213483146067417,ref
56,474,14,460,0.029535864978902954,ref
57,609,10,599,0.016420361247947456,ref
59,463,12,451,0.02591792656587473,ref
60,490,11,479,0.022448979591836733,ref
62,482,12,470,0.024896265560165973,ref
63,440,11,429,0.025,ref
64,563,11,552,0.019538188277087035,ref
65,680,13,667,0.01911764705882353,ref
66,610,11,599,0.018032786885245903,ref
67,410,13,397,0.03170731707317073,ref
68,610,10,600,0.01639344262295082,ref
69,430,10,420,0.023255813953488372,ref
70,610,10,600,0.01639344262295082,ref
71,364,18,346,0.04945054945054945,ref
72,449,10,439,0.022271714922048998,ref
74,480,9,471,0.01875,ref
75,450,10,440,0.022222222222222223,ref
76,480,12,468,0.025,ref
77,610,11,599,0.018032786885245903,ref
78,610,11,599,0.018032786885245903,ref
79,470,10,460,0.02127659574468085,ref
80,510,10,500,0.0196078431372549,ref
81,489,15,474,0.03067484662576687,ref
82,480,14,466,0.029166666666666667,ref
83,429,17,412,0.039627039627039624,ref
84,569,11,558,0.019332161687170474,ref
85,680,10,670,0.014705882352941176,ref
86,590,10,580,0.01694915254237288,ref
87,450,10,440,0.022222222222222223,ref
88,610,10,600,0.01639344262295082,ref
89,440,15,425,0.03409090909090909,ref
91,609,10,599,0.016420361247947456,ref
92,370,10,360,0.02702702702702703,ref
93,450,10,440,0.022222222222222223,ref
94,520,10,510,0.019230769230769232,ref
95,450,10,440,0.022222222222222223,ref
96,450,10,440,0.022222222222222223,ref
97,479,10,469,0.020876826722338204,ref
98,608,14,594,0.023026315789473683,ref
99,610,12,598,0.019672131147540985,ref
100,470,11,459,0.023404255319148935,ref
101,500,10,490,0.02,ref
102,483,14,469,0.028985507246376812,ref
103,480,16,464,0.03333333333333333,ref
104,430,11,419,0.02558139534883721,ref
105,567,17,550,0.029982363315696647,ref
106,680,12,668,0.01764705882352941,ref
107,610,10,600,0.01639344262295082,ref
108,450,10,440,0.022222222222222223,ref
109,610,11,599,0.018032786885245903,ref
110,438,13,425,0.02968036529680365,ref
112,610,12,598,0.019672131147540985,ref
113,370,13,357,0.03513513513513514,ref
114,450,10,440,0.022222222222222223,ref
115,520,11,509,0.021153846153846155,ref
116,460,14,446,0.030434782608695653,ref
117,438,15,423,0.03424657534246575,ref
118,608,11,597,0.018092105263157895,ref
119,479,15,464,0.031315240083507306,ref
120,606,16,590,0.026402640264026403,ref
121,470,13,457,0.027659574468085105,ref
2018_Austin,732,17,715,0.023224043715846996,my
2018_Baku,532,23,509,0.043233082706766915,my
2018_Barcelona,780,15,765,0.019230769230769232,my
2018_Budapest,991,17,974,0.017154389505549948,my
2018_Hockenheim,1019,36,983,0.03532875368007851,my
2018_LeCastellet,719,13,706,0.01808066759388039,my
2018_Melbourne,730,16,714,0.021917808219178082,my
2018_MexicoCity,1000,21,979,0.021,my
2018_MonteCarlo,1248,22,1226,0.017628205128205128,my
2018_Montréal,979,16,963,0.01634320735444331,my
2018_Monza,743,14,729,0.018842530282637954,my
2018_Sakhir,789,29,760,0.036755386565272496,my
2018_Shanghai,893,27,866,0.030235162374020158,my
2018_Silverstone,705,24,681,0.03404255319148936,my
2018_Singapore,885,18,867,0.020338983050847456,my
2018_Sochi,762,16,746,0.02099737532808399,my
2018_Spa-Francorchamps,489,14,475,0.028629856850715747,my
2018_Spielberg,996,19,977,0.019076305220883535,my
2018_Suzuka,784,20,764,0.025510204081632654,my
2018_SãoPaulo,1121,21,1100,0.01873327386262266,my
2018_YasMarina,696,13,683,0.01867816091954023,my
2019_Austin,836,27,809,0.03229665071770335,my
2019_Baku,762,23,739,0.030183727034120734,my
2019_Barcelona,1043,31,1012,0.029721955896452542,my
2019_Budapest,1118,21,1097,0.018783542039355994,my
2019_Hockenheim,826,64,762,0.0774818401937046,my
2019_LeCastellet,846,20,826,0.02364066193853428,my
2019_Melbourne,834,15,819,0.017985611510791366,my
2019_MexicoCity,1125,26,1099,0.02311111111111111,my
2019_MonteCarlo,1224,21,1203,0.01715686274509804,my
2019_Montréal,1077,16,1061,0.014856081708449397,my
2019_Monza,799,26,773,0.03254067584480601,my
2019_Sakhir,879,36,843,0.040955631399317405,my
2019_Shanghai,847,34,813,0.04014167650531287,my
2019_Silverstone,725,23,702,0.031724137931034485,my
2019_Singapore,830,22,808,0.02650602409638554,my
2019_Sochi,663,17,646,0.02564102564102564,my
2019_Spa-Francorchamps,577,18,559,0.03119584055459272,my
2019_Spielberg,1158,19,1139,0.016407599309153715,my
2019_Suzuka,813,24,789,0.02952029520295203,my
2019_SãoPaulo,1133,38,1095,0.03353927625772286,my
