stage,fold,f1,fbeta,precision,recall,pr_auc,threshold,beta
Stage 1: RefTech on RefData,1,0.8683274021352313,0.8872727272727274,0.8384879725085911,0.9003690036900369,0.9066033058382781,0.7642441391944885,2.0
Stage 1: RefTech on RefData,2,0.9083820662768031,0.8906727828746179,0.9395161290322581,0.879245283018868,0.9683216617643224,0.9310244917869568,2.0
Stage 1: RefTech on RefData,3,0.8957952468007313,0.9107806691449813,0.8718861209964412,0.9210526315789473,0.96952340860941,0.8671643733978271,2.0
Stage 1: RefTech on RefData,4,0.7201166180758017,0.8389945652173911,0.5825471698113207,0.9427480916030534,0.9407920844980082,0.22793403267860413,2.0
Stage 1: RefTech on RefData,5,0.7684563758389261,0.7973537604456825,0.7246835443037974,0.8178571428571428,0.799237102249659,0.9235479235649109,2.0
Stage 2: MyMethod on RefData,1,0.8274582560296846,0.8247041420118343,0.832089552238806,0.8228782287822878,0.8775695688282719,0.8045867085456848,2.0
Stage 2: MyMethod on RefData,2,0.8875,0.8352941176470587,0.9906976744186047,0.8037735849056604,0.9176088148447994,0.7830315828323364,2.0
Stage 2: MyMethod on RefData,3,0.8436213991769548,0.7982866043613708,0.9318181818181818,0.7706766917293233,0.8970897035666271,0.6149508953094482,2.0
Stage 2: MyMethod on RefData,4,0.8769230769230769,0.8728943338437978,0.8837209302325582,0.8702290076335878,0.9296788948074484,0.5954593420028687,2.0
Stage 2: MyMethod on RefData,5,0.7769230769230769,0.7426470588235293,0.8416666666666667,0.7214285714285714,0.7566837405425363,0.766472578048706,2.0
Stage 3: RefTech on MyData+W,1,0.9981515711645101,0.9970457902511078,1.0,0.996309963099631,1.0,0.9998718500137329,2.0
Stage 3: RefTech on MyData+W,2,0.998109640831758,0.9969788519637462,1.0,0.9962264150943396,1.0,0.9997004270553589,2.0
Stage 3: RefTech on MyData+W,3,1.0,1.0,1.0,1.0,1.0,0.9733909368515015,2.0
Stage 3: RefTech on MyData+W,4,1.0,1.0,1.0,1.0,0.9999999999999999,0.9889811277389526,2.0
Stage 3: RefTech on MyData+W,5,0.998211091234347,0.9971408148677627,1.0,0.9964285714285714,1.0,0.9958065748214722,2.0
Stage 4: MyMethod on MyData+W,1,1.0,1.0,1.0,1.0,1.0,0.9957787622289086,2.0
Stage 4: MyMethod on MyData+W,2,0.998109640831758,0.9969788519637462,1.0,0.9962264150943396,1.0,0.9958661634589091,2.0
Stage 4: MyMethod on MyData+W,3,1.0,1.0,1.0,1.0,1.0,0.6632071311205626,2.0
Stage 4: MyMethod on MyData+W,4,1.0,1.0,1.0,1.0,1.0,0.9840299431100998,2.0
Stage 4: MyMethod on MyData+W,5,0.998211091234347,0.9971408148677627,1.0,0.9964285714285714,1.0,0.6638042683612848,2.0
