stage,fold,f1,fbeta,precision,recall,pr_auc,threshold,beta
Stage 1: RefTech on RefData,1,0.8477064220183487,0.8505154639175257,0.843065693430657,0.8523985239852399,0.9026892545459696,0.8663169145584106,2.0
Stage 1: RefTech on RefData,2,0.911487758945386,0.9125188536953243,0.9097744360902256,0.9132075471698113,0.966889419659751,0.8703688383102417,2.0
Stage 1: RefTech on RefData,3,0.8717047451669596,0.9070958302852962,0.8184818481848185,0.9323308270676691,0.9575335223180172,0.8337625861167908,2.0
Stage 1: RefTech on RefData,4,0.7556904400606981,0.8615916955017301,0.6272040302267002,0.950381679389313,0.9281984450277612,0.7570705413818359,2.0
Stage 1: RefTech on RefData,5,0.7665505226480837,0.7779349363507779,0.7482993197278912,0.7857142857142857,0.8651465356514518,0.9100842475891113,2.0
Stage 2: MyMethod on RefData,1,0.8545780969479354,0.8686131386861313,0.8321678321678322,0.8782287822878229,0.9092945004188915,0.8034950494766235,2.0
Stage 2: MyMethod on RefData,2,0.9155206286836935,0.89340490797546,0.9549180327868853,0.879245283018868,0.9723633909095061,0.9192014932632446,2.0
Stage 2: MyMethod on RefData,3,0.9077212806026366,0.9066967644845749,0.909433962264151,0.9060150375939849,0.9624480887067934,0.8901781439781189,2.0
Stage 2: MyMethod on RefData,4,0.7779527559055118,0.8691062631949331,0.6621983914209115,0.9427480916030534,0.9327121843452083,0.7831606268882751,2.0
Stage 2: MyMethod on RefData,5,0.7630252100840336,0.7909407665505227,0.7206349206349206,0.8107142857142857,0.8627133780172034,0.8488773703575134,2.0
Stage 3: RefTech on MyData+W,1,0.14181286549707603,0.2804278693263949,0.07775551102204409,0.8049792531120332,0.1546199172711032,0.46015825867652893,2.0
Stage 3: RefTech on MyData+W,2,0.12470308788598575,0.24280825085561006,0.06887052341597796,0.6587202007528231,0.1134258134366145,0.44178861379623413,2.0
Stage 3: RefTech on MyData+W,3,0.16,0.2995655156643037,0.09006531454107941,0.7158469945355191,0.1359602911751817,0.5211654305458069,2.0
Stage 3: RefTech on MyData+W,4,0.1291866028708134,0.2570029915692141,0.07063660147003863,0.7549933422103862,0.1324597072722558,0.37665417790412903,2.0
Stage 3: RefTech on MyData+W,5,0.1988349514563107,0.33547372559297606,0.11843627110802683,0.619105199516324,0.15676238524132027,0.5717677474021912,2.0
Stage 4: MyMethod on MyData+W,1,0.14469314079422382,0.2754563448427534,0.08078039342147694,0.6929460580912863,0.12627980871451944,0.5395586490631104,2.0
Stage 4: MyMethod on MyData+W,2,0.1226172076249356,0.23436730674544556,0.06832208985216018,0.5972396486825596,0.102702198908086,0.4761848747730255,2.0
Stage 4: MyMethod on MyData+W,3,0.14741109268472452,0.2623638987275351,0.08519701810436635,0.546448087431694,0.11721883949030672,0.5915080308914185,2.0
Stage 4: MyMethod on MyData+W,4,0.12156362370954646,0.24094169578811847,0.06658195679796697,0.6977363515312917,0.08837672708374086,0.4433087706565857,2.0
Stage 4: MyMethod on MyData+W,5,0.1894273127753304,0.26594804735819044,0.12803062526584433,0.3639661426844015,0.12298183750951999,0.7197770476341248,2.0
